price,name,link
129.95,Textured Short BlueBlaq,https://www.myer.com.au/p/reserve-apollo-5-pocket-shorts-in-caramel
49.99,Timothee Textured Short Blue Add Blaq   Timothee Textured Short Blue,https://www.myer.com.au/p/superdry-vintage-core-cargo-shorts-in-black
649,Linen Short in BlackBlaq,https://www.myer.com.au/p/reserve-apollo-5-pocket-shorts-in-navy
39.99,BlackAmerican Eagle   Flex 5.5,https://www.myer.com.au/p/levis-standard-denim-shorts-in-black
35.97,Chino Short,https://www.myer.com.au/p/tommy-hilfiger-broklyn-twill-shorts-in-desert-sky
109.95,Nena & Pasadena   Hellcat Denim Short in Newport Blue,https://www.myer.com.au/p/johnny-bigg-resort-linen-short-in-black
149.00,Apollo 5 Pocket Shorts in Caramel Add Reserve,https://www.myer.com.au/p/country-road-verified-australian-cotton-stretch-chino-short-in-navy
19,Standard Jean Shorts in Blue Add Levi's,https://www.myer.com.au/p/superdry-officer-chino-shorts-in-stone-wash
59.99,Core Cargo Shorts in Eclipse Navy Add Superdry,https://www.myer.com.au/p/nena---pasadena-hellcat-denim-short-in-newport-blue
97.46,Chino Shorts in Stone WashSuperdry,https://www.myer.com.au/c/men/mens-clothing/mens-shorts/men-clothing-shorts-denim
34.99,Core Cargo Shorts in Black,https://www.myer.com.au/p/jack---jones-rick-icon-704-shorts-in-blue-denim
59.96,BlackJohnny Bigg   Resort Linen Short in Black,https://www.myer.com.au/p/tommy-hilfiger-essentials-medium-swim-short-in-black
99.95,RoadVerified Australian Cotton Stretch Chino Short in,https://www.myer.com.au/p/reserve-newport-chino-short-camel
74.99,HilfigerBrooklyn Twill Shorts in,https://www.myer.com.au/p/blaq-timothee-textured-short-blue
47.97,Nena & Pasadena   Hellcat Denim Short,https://www.myer.com.au/c/men/mens-clothing/mens-shorts/men-clothing-shorts-chino
31.50,Standard Denim Shorts in Black,https://www.myer.com.au/p/adidas-aeroready-essentials-chelsea-linear-logo-shorts-in-black
89.95,Australian Cotton Stretch Chino Short in Navy Add Country Road   Verified Australian Cotton Stretch Chino Short in Navy,https://www.myer.com.au/c/men/featured-menswear-brands/men-tommy-hilfiger
111.75,SkyTommy Hilfiger,https://www.myer.com.au/p/reserve-kenneth-deck-shorts-in-navy
53.97,MyerMYER One AppDownload TodayOne-touch,https://www.myer.com.au/p/tommy-hilfiger-broklyn-short-with-belt-in-black
50.00,BiggResort Linen Short in,https://www.myer.com.au/p/maddox-luke-chino-short-black
69.95,HilfigerBrooklyn Short with Belt in BlackTommy Hilfiger,https://www.myer.com.au/p/superdry-core-cargo-shorts-in-eclipse-navy
67.46,"AirFlex  9"" Denim Short in Light Wash Add American Eagle   ",https://www.myer.com.au/p/reserve-newport-stretch-chino-shorts-in-dusty-blue
45.00,Louis Textured Short in Silver Add Reserve,https://www.myer.com.au/p/tommy-hilfiger-broklyn-twill-shorts-in-beige
109.99,RoadVerified Australian Cotton Stretch Chino Short in ThymeCountry Road   Verified Australian Cotton Stretch Chino Short in,https://www.myer.com.au/p/tommy-hilfiger-monotype-flex-fleece-sweat-shorts-in-desert-sky
59.95,HilfigerBrooklyn Twill Shorts in Desert SkyTommy Hilfiger,https://www.myer.com.au/p/blaq-landyn-linen-short-in-black
35.00,Kenneth Deck Shorts In Navy Add Reserve,https://www.myer.com.au/p/champion-woven-training-shorts-in-black
24.49,Core Cargo Shorts in BlackSuperdry,https://www.myer.com.au/p/superdry-core-cargo-shorts-in-dress-beige
139.00,5 Pocket Shorts in CaramelReserve,https://www.myer.com.au/p/rebok-wor-woven-short-in-black
69.00,Searchmens,https://www.myer.com.au/p/nena---pasadena-spitfire-denim-short-in-elgin-blue
99.00,"EagleFlex 5.5"" Lived-In Trekker Short",https://www.myer.com.au/p/american-eagle-airflex-9-denim-short-in-light-wash
99.99,Luke Chino Short Black,https://www.myer.com.au/p/superdry-organic-cotton-vintage-core-cargo-shorts-in-overdyed-camo
27.99,Reebok   Wor Woven Short in Black,https://www.myer.com.au/p/tommy-hilfiger-broklyn-twill-shorts-in-white
69.97,wishlist$139.00$99.00Levi'sStandard Denim Shorts in BlackLevi,https://www.myer.com.au/p/maddox-luke-chino-short-in-blue
82.46,Kenneth Deck Shorts In Navy,https://www.myer.com.au/p/country-road-verified-australian-cotton-stretch-chino-short-in-thyme
79.95,704 Shorts in Blue DenimJack & Jones,https://www.myer.com.au/p/american-eagle-flex-55-lived-in-trekker-short-in-bold-black
41.97,Landyn Linen Short in Black Add Blaq   Landyn Linen Short in Black,https://www.myer.com.au/c/men/mens-clothing/mens-shorts/men-clothing-shorts-cargo
